"","species","read_length","species_sensitivity","species_specificity","species_accuracy","species_precision","genus_sensitivity","genus_specificity","genus_accuracy","genus_precision"
"1299","unclassified Sapovirus species","300",0,100,99.8022645369211,100,100,100,100,100
"1300","uncultured Actinomyces sp.","75",0,100,98.9681164989533,100,15.8237732057776,99.9954134482872,98.6998110427996,69.2615506780344
"1301","uncultured Actinomyces sp.","150",0,100,98.9679167669151,100,16.9537318799248,99.9915551825976,98.7337814106964,83.1331004198795
"1302","uncultured Actinomyces sp.","300",0,100,98.9683685200578,100,17.3529634707658,99.9887812478981,98.7545896824105,83.5256955180558
"1303","uncultured Campylobacter sp.","75",0,100,99.5356718858473,100,91.5945021781533,99.999330614055,99.6956367567247,99.8537334229001
"1304","uncultured Campylobacter sp.","150",0,100,99.5354930415836,100,97.266521971049,99.9992837388757,99.89330553881,99.8182425108732
"1305","uncultured Campylobacter sp.","300",0,100,99.5351258581264,100,98.7781431563927,99.9991465468109,99.9471357611702,99.7415868214301
"1306","uncultured Fusobacterium sp.","75",0,100,99.5541934215283,100,91.3504848219369,99.9981995476821,99.5749724583986,99.4749026405877
"1307","uncultured Fusobacterium sp.","150",0,100,99.5543237871362,100,98.0269790080215,99.9970720379129,99.9039050899247,99.5715206906841
"1308","uncultured Fusobacterium sp.","300",0,100,99.5542401558411,100,99.2694468488807,99.9955269148821,99.96480332896,99.315085706436
"1309","uncultured Micrococcus sp.","75",0,100,99.1091133378635,100,58.6786564711009,99.9997418041032,98.3430628879084,99.964152496922
